test_image,anchor_image,score,num_matches,num_inliers,inlier_ratio,mean_error,vessel_sim
test_22.tiff,anchor_03.tiff,46.62473262261213,9,4,0.4444444444444444,0.0,0.4211738711208588
test_23.tiff,anchor_03.tiff,513.8343713454435,410,163,0.3975609756097561,1.3874177932739258,0.5007818666811162
test_23.tiff,anchor_02.tiff,70.55463124715195,4,4,1.0,0.0,0.4638657811787987
test_23.tiff,anchor_05.tiff,56.41896879978549,6,4,0.6666666666666666,0.0,0.4438075533279705
test_23.tiff,anchor_01.tiff,52.04736151147962,14,6,0.42857142857142855,0.0,0.42261260921556204
test_23.tiff,anchor_04.tiff,47.483576580949226,9,4,0.4444444444444444,0.0,0.44264497007928616
test_24.tiff,anchor_05.tiff,446.94963966840083,402,141,0.35074626865671643,1.5258748531341553,0.5531696936801357
test_24.tiff,anchor_04.tiff,379.28188589758395,406,119,0.29310344827586204,1.5113457441329956,0.5662128479903361
test_24.tiff,anchor_02.tiff,64.62967187223964,7,5,0.7142857142857143,0.0,0.5264560825202766
test_24.tiff,anchor_01.tiff,60.35458929612046,12,7,0.5833333333333334,0.274176687002182,0.45536673647011444
test_24.tiff,anchor_03.tiff,58.513897880298046,6,4,0.6666666666666666,0.0,0.4961807803407845
test_25.tiff,anchor_03.tiff,849.7903974352698,808,275,0.34034653465346537,1.6251848936080933,0.6044503799498984
test_25.tiff,anchor_01.tiff,56.99807370714976,13,6,0.46153846153846156,0.0,0.5134133811402822
test_25.tiff,anchor_05.tiff,53.67358290329135,8,4,0.5,0.0,0.5418395725822838
test_25.tiff,anchor_04.tiff,45.083945719476716,14,4,0.2857142857142857,0.0,0.5413843572726321
test_25.tiff,anchor_02.tiff,-7999976.288250395,2,0,0.0,inf,0.5927937401315339
